25.5,6.62,6.52,5.83,0.4,1.25,0.55,0.0092,Unnamed: 8,Unnamed: 9
24.5,6.67,9.34,6.47,0.36,1.8,0.6,0.015,,
27.5,6.67,6.38,6.48,0.72,1.67,0.5,0.013,,
29.0,6.71,9.1,8.14,1.04,1.75,0.3,0.016,,
27.5,6.65,13.58,11.57,0.96,2.31,0.4,0.013,,
20.5,7.02,10.9,7.63,1.2,1.58,0.8,0.016,,
17.5,6.67,14.51,9.14,1.2,2.15,0.85,0.0062,,
12.6,6.92,11.93,7.81,1.12,1.88,0.6,0.0022,,
15.3,6.77,17.68,10.03,0.8,2.48,0.8,0.0012,,
16.5,6.72,10.91,9.71,0.96,2.24,0.8,0.003,,
17.3,6.76,11.46,8.86,0.8,2.18,0.8,0.0025,,
22.9,6.68,11.07,8.26,0.8,2.31,0.8,0.0062,,
23.5,6.77,9.21,7.98,0.56,1.79,0.7,0.0081,,
28.2,6.76,11.94,9.72,0.64,2.88,0.8,0.014,,
28.6,6.89,13.45,11.33,0.8,3.73,0.8,0.024,,
26.7,6.67,16.77,11.1,1.44,1.99,0.8,0.013,,
27.7,6.81,12.06,8.16,0.8,1.24,0.8,0.014,,
23.9,6.92,15.71,11.58,1.68,1.93,0.85,0.0091,,
20.2,6.9,20.67,13.36,0.8,2.8,0.85,0.0061,,
17.7,6.8,21.39,12.29,1.04,2.81,0.6,0.00067,,
11.7,6.9,43.18,47.96,0.8,3.11,0.55,0.0029,,
14.7,6.75,15.33,9.51,1.12,2.9,0.6,0.0037,,
19.4,6.85,11.34,7.2,1.28,1.78,0.6,0.0013,,
21.0,6.71,10.29,7.18,0.72,1.79,0.6,0.009,,
23.7,6.74,6.59,5.08,3.2,1.07,0.65,0.018,,
26.7,6.75,6.95,5.66,1.6,1.14,0.6,0.014,,
26.8,6.76,11.29,13.14,1.2,1.35,0.6,0.021,,
27.0,6.58,7.53,6.47,0.8,1.06,0.6,0.0161,,
24.8,6.8,9.83,7.55,1.12,1.16,0.6,0.0153,,
22.3,6.85,11.53,9.49,1.04,1.24,0.65,0.0124,,
17.7,6.94,16.4,10.69,0.88,1.83,0.6,0.0106,,
15.0,6.89,17.11,10.82,0.88,1.79,0.55,0.005,,
18.7,6.56,11.87,7.66,1.2,1.91,0.6,0.0049,,
21.7,6.67,13.47,7.25,1.2,1.82,0.6,0.0086,,
25.5,6.62,9.8,5.8,0.64,1.32,0.6,0.0109,,
24.5,6.55,7.62,6.53,0.96,1.18,0.6,0.0114,,
27.1,6.75,12.66,12.45,0.88,2.12,0.6,0.0093,,
24.0,6.73,11.36,8.48,1.44,1.8,0.65,0.0148,,
23.2,6.7,12.33,9.42,1.04,1.82,0.6,0.0148,,
21.4,6.6,12.83,10.47,1.52,1.63,0.6,0.0083,,
20.3,6.7,9.97,8.78,0.16,1.47,0.6,0.0079,,
17.7,6.77,10.45,10.4,0.48,1.49,0.7,0.0031,,
11.5,6.68,10.58,7.35,0.64,1.46,0.6,0.0013,,
14.0,6.66,10.07,6.82,0.4,1.54,0.6,0.0012,,
20.1,6.78,9.85,6.91,0.8,1.66,0.6,0.0033,,
23.8,6.65,7.89,7.45,0.56,1.47,0.6,0.0049,,
26.8,6.6,6.14,6.02,0.32,1.17,0.6,0.0157,,
26.6,6.93,6.7,6.47,0.32,1.41,0.6,0.0091,,
25.9,6.7,7.3,7.47,0.4,1.36,0.6,0.016,,
24.6,6.76,8.96,7.05,0.8,1.23,0.6,0.0151,,
23.5,6.56,8.02,6.85,1.28,1.31,0.65,0.0107,,
20.4,6.77,12.15,10.24,0.56,1.53,0.65,0.0091,,
18.4,6.67,8.72,7.21,0.56,1.7,0.65,0.0075,,
18.0,6.75,12.36,8.79,0.4,1.93,0.6,0.0059,,
15.1,6.93,15.6,7.21,0.64,1.92,0.6,0.0015,,
15.7,6.93,9.42,7.11,0.8,1.67,0.6,0.0025,,
21.3,6.62,10.22,6.3,0.8,1.4,0.6,0.0036,,
22.9,6.8,9.0,6.41,0.96,1.46,0.6,0.0109,,
25.6,6.77,12.4,7.97,0.8,1.29,0.6,0.0102,,
24.8,6.54,4.81,5.2,0.8,0.952,0.6,0.0119,,
25.8,6.76,9.12,7.76,0.64,1.11,0.6,0.0208,,
26.1,7.0,8.17,7.67,0.64,0.887,0.55,0.0159,,
26.1,6.93,15.6,11.5,0.56,1.04,0.6,0.0159,,
23.1,6.78,16.4,12.8,0.56,1.33,0.6,0.0154,,
18.2,6.96,31.2,27.8,0.64,1.5,0.7,0.0121,,
18.1,6.92,35.6,21.7,0.88,2.33,0.7,0.0082,,
12.2,6.92,27.8,16.4,0.8,1.55,0.5,0.0037,,
17.7,6.93,23.5,13.9,1.12,1.82,0.7,0.0053,,
21.1,6.69,26.8,19.2,1.12,2.64,0.7,0.0223,,
23.0,6.71,19.4,10.5,0.8,1.77,0.55,0.0095,,
22.7,6.73,25.8,10.4,1.19,1.43,0.6,0.0146,,
28.4,6.78,9.46,7.16,1.15,1.3,0.65,0.0151,,
26.7,6.95,11.9,8.23,1.04,1.02,0.6,0.0175,,
25.4,7.04,17.3,9.47,1.43,1.0,0.6,0.0139,,
23.6,6.94,14.6,9.54,0.96,1.19,0.6,0.0103,,
23.5,6.96,15.5,8.98,0.72,1.14,0.6,0.0078,,
22.5,6.95,14.8,9.39,0.88,1.35,0.6,0.0089,,
14.9,6.99,15.6,9.68,0.64,1.44,0.6,0.0047,,
16.0,7.0,20.2,9.96,0.64,1.6,0.65,0.0044,,
17.3,6.87,10.9,7.14,0.96,1.37,0.65,0.0027,,
20.2,6.85,11.1,6.52,0.88,1.56,0.6,0.005,,
19.1,6.78,9.52,5.86,0.56,1.01,0.6,0.0082,,
25.2,6.7,6.0,6.42,1.11,0.903,0.6,0.0075,,
26.5,6.97,5.34,5.14,0.64,0.785,0.6,0.0141,,
26.1,6.52,7.05,5.97,0.56,0.729,0.6,0.0154,,
23.6,7.02,9.9,7.02,0.48,0.917,0.6,0.019,,
24.8,7.24,12.6,8.21,0.8,0.772,0.6,0.0097,,
22.1,7.22,18.1,12.3,0.4,1.08,0.65,0.018,,
17.7,7.4,23.3,11.2,0.8,1.26,0.6,0.0088,,
19.9,7.19,26.5,13.6,0.72,1.4,0.6,0.0074,,
19.9,7.2,21.9,14.2,1.14,1.54,0.75,0.0106,,
17.4,7.26,11.6,11.3,1.04,1.4,0.75,0.0084,,
17.1,7.0,27.3,32.1,0.62,1.63,0.75,0.0059,,
24.4,7.06,11.9,8.69,1.27,1.22,0.65,0.0066,,
21.8,6.88,14.3,12.6,0.88,0.902,0.75,0.0079,,
25.3,6.87,8.67,6.94,0.88,1.09,0.7,0.0158,,
15.1,7.32,29.6,15.4,0.96,1.36,0.7,0.00495,,
17.0,7.16,38.2,17.2,0.72,1.81,0.75,0.0118,,
16.0,6.96,32.9,16.4,0.88,1.56,0.75,0.00395,,
21.1,7.23,24.1,16.6,0.88,1.8,0.65,0.00833,,
24.1,7.22,30.0,15.6,1.27,1.51,0.65,0.0374,,
23.8,7.12,7.56,7.22,0.96,1.15,0.65,0.0181,,
25.0,7.0,12.9,9.48,0.64,0.945,0.7,0.0172,,
27.0,7.16,31.0,38.2,0.88,1.18,0.65,0.0275,,
23.8,7.06,16.1,14.6,0.8,0.475,0.7,0.0186,,
20.1,6.83,23.1,14.4,0.8,0.933,0.65,0.0251,,
18.0,7.22,26.6,16.0,0.96,1.06,0.65,0.0184,,
16.8,7.1,31.4,20.9,0.8,1.22,0.65,0.0084,,
15.4,6.93,27.5,15.5,0.96,1.56,0.6,0.00414,,
15.1,7.0,13.3,9.7,0.8,1.2,0.65,0.00297,,
22.5,6.9,10.7,8.59,0.8,1.14,0.6,0.00471,,
22.7,6.88,11.3,8.33,0.88,1.22,0.6,0.0332,,
21.5,7.14,6.4,7.12,0.8,0.72,0.8,0.011,,
27.0,7.16,9.1,7.25,0.64,0.629,0.8,0.0184,,
27.1,7.17,11.0,9.76,0.8,0.623,0.8,0.0172,,
27.4,7.37,18.7,16.0,0.72,1.05,0.8,0.0313,,
24.6,7.21,18.5,13.7,0.88,0.782,0.8,0.018,,
21.7,7.05,29.8,16.5,0.72,1.36,0.8,0.00732,,
17.5,6.95,33.0,14.3,0.96,1.23,0.85,0.00445,,
